caldt,mkt,ewmkt
1979-05-31,-0.013571,-0.006845
1979-06-29,0.046852,0.054663
1979-07-31,0.014991,0.021366
1979-08-31,0.064732,0.075616
1979-09-28,0.001426,-0.001172
1979-10-31,-0.072662,-0.097915
1979-11-30,0.063604,0.065295
1979-12-31,0.028215,0.067485
1980-01-31,0.065607,0.105129
1980-02-29,0.001015,-0.006301
1980-03-31,-0.120224,-0.165043
1980-04-30,0.052287,0.053461
1980-05-30,0.060091,0.071249
1980-06-30,0.037714,0.046176
1980-07-31,0.069438,0.089279
1980-08-29,0.023554,0.063984
1980-09-30,0.029498,0.052459
1980-10-31,0.020095,0.047525
1980-11-28,0.104952,0.069264
1980-12-31,-0.034411,-0.032416
1981-01-30,-0.040085,0.005615
1981-02-27,0.015519,0.00215
1981-03-31,0.046183,0.072674
1981-04-30,-0.011266,0.027885
1981-05-29,0.013546,0.027188
1981-06-30,-0.010243,-0.013194
1981-07-31,-0.003079,-0.01998
1981-08-31,-0.056281,-0.071906
1981-09-30,-0.063776,-0.090061
1981-10-30,0.060162,0.069728
1981-11-30,0.045848,0.021667
1981-12-31,-0.028096,-0.019694
1982-01-29,-0.026209,-0.017347
1982-02-26,-0.051126,-0.047987
1982-03-31,-0.010101,-0.012065
1982-04-30,0.043269,0.052242
1982-05-28,-0.028213,-0.02249
1982-06-30,-0.023913,-0.036699
1982-07-30,-0.020526,-0.014776
1982-08-31,0.119016,0.063285
1982-09-30,0.016766,0.033164
1982-10-29,0.118632,0.128447
1982-11-30,0.051941,0.092037
1982-12-31,0.01451,0.023447
1983-01-31,0.041844,0.117062
1983-02-28,0.030215,0.047266
1983-03-31,0.034678,0.050515
1983-04-29,0.074185,0.080687
1983-05-31,0.013225,0.091741
1983-06-30,0.037837,0.046341
1983-07-29,-0.03157,-0.017556
1983-08-31,0.003465,-0.03292
1983-09-30,0.016027,3e-05
1983-10-31,-0.028038,-0.059261
1983-11-30,0.029556,0.031713
1983-12-30,-0.010464,-0.019672
1984-01-31,-0.013025,0.005424
1984-02-29,-0.039073,-0.050767
1984-03-30,0.01339,0.007449
